text,startMs,endMs
do they have to ask him do they have to,311840,313759
ask him what his story is I don't give a,313759,316240
[ __ ] they but they don't they don't ask,316240,317919
you they just let you go it's okay what,317919,320840
what like is there a punishment is,320840,322199
that's what I'm getting they lock me my,322199,324199
I couldn't get on my cell for like two,324199,325960
weeks oh for two weeks yeah just alone,325960,329160
in yourself,329160,330880
const the door so what happens is is for,330880,333680
a certain amount of hours of the day,333680,334840
they got to pop the door and let you,334840,335880
into a bigger cell a bigger room you,335880,338000
know what I mean so I just couldn't get,338000,340680
into the the day room for like two weeks,340680,343440
but the crazy [ __ ] of it all is like I'm,343440,345960
trying to tell you I'm trying to learn,345960,347120
this this system right this new rules so,347120,350160
what happens is this kid this guy okay,350160,351880
we talk about the cars and the races,351880,353440
right so each race has their own car,353440,355520
which means there's a key holder the key,355520,357680
holder to that car controls the race,357680,360520
so they make decisions for the race they,360520,362000
TR and keep other races out of car,362000,364080
wrecks like now we got a feud with the,364080,365759
blacks or we got a feud with the,365759,366720
Mexicans or whatever they call them car,366720,368440
wrecks yeah well if we get in a fight,368440,370720
with them the keyh holder is the guy,370720,373440
that can communicate with the other keyh,373440,375080
holders to the races and trying to keep,375080,376880
delegated wow yeah and so I didn't had,376880,380360
it happen where we going to get out with,380360,381560
the Mexicans and then our keys will go,381560,383319
and they keys and and we F to jump we,383319,385240
getting ready to jump and they and they,385240,386680
shake hands all right it ain't going it,386680,388440
ain't going and and it go back down so,388440,392000
yeah and you're trying to figure all,392000,393000
this out so what happened was I beat,393000,394319
this Fool's ass and now I'm I got the,394319,396960
keys oh wow but I can't have the keys,396960,399800
because I'm a first termer so first,399800,401240
termer is not allowed to have the keys,401240,402880
but nobody nobody wanted to try to take,402880,404440
the keys from me so in order for them to,404440,406680
take the keys from me they got to fight,406680,407840
me to take the keys away from me oh boy,407840,410639
so so that kind of changed the Dynamics,410639,413720
of the of the room because now I'm able,413720,415919
to navigate with these other races and,415919,418879
have these convers ations with these,418879,420680
[ __ ] ignorant people that don't,420680,423319
understand how to how to really talk you,423319,426000
know what I mean like how to communicate,426000,427319
and and and keep things cool they they,427319,429840
they misunderstand what this guy says or,429840,431960
misinterpret what this guy says and next,431960,433360
thing you know it's hot for everybody,433360,435319
you know and it's just,435319,436280
misinterpretations yeah yeah cuz they're,436280,437960
dumb mostly these guys are dumb bro like,437960,441240
they're like the coners it made me in,441240,443840
some ways you're sitting there listening,443840,444879
to these guys you're like these guys,444879,446000
really think this [ __ ] like figh about,446000,447440
the dumbest [ __ ] yeah so,447440,451280
cities fighting over teams fighting over,451280,456000
just the dumbest [ __ ] Xbox and,456000,457960
PlayStation and somebody said something,457960,459720
wrong and then that escalated into,459720,461280
something that's was personal yeah half,461280,464319
quick so now they take me from there,464319,466599
that incident takes place right and we,466599,468000
resolve some of that stuff but now these,468000,471120
guys are in different modular so now,471120,472479
they're putting these kites out to try,472479,473800
and get me as I'm going to court so what,473800,476080
happens they catch chain with some guys,476080,478000
and then we go into these holding tanks,478000,480120
all these different holding tanks and,480120,481280
you get put in that holding tank with,481280,482639
that guy that got a kite that's looking,482639,484680
for you and now it's on it's cracking,484680,487280
you know what I mean whoa so I'm sitting,487280,489400
in my cell I'm getting ready to go to,489400,490720
court and there's these two huge ass,490720,492280
guys and they're in there talking to,492280,494240
each other about trying to get me but,494240,496560
they don't know that it's me so I'm,496560,498440
sitting in there I'm listening to,498440,499560
everything that they're trying to do and,499560,500759
how they're going to try and set this,500759,501759
[ __ ] up and I'm sitting right in front,501759,502960
of them and they don't even realize it's,502960,504560
me wow and I'm thinking honestly I'm,504560,507840
like these are Big [ __ ] I'm can,507840,510319
they're going to take me out like,510319,511639
there's only so much you can do you know,511639,513200
what I mean,513200,514479
numbers so I make it through that whole,514479,517479
process and I catch a chain and when I,517479,520479
catch a chain they take you from County,520479,522360
to to State and I catch a chain with the,522360,525720
same [ __ ] that I got into it with I,525720,528480
took the keys from oh my goodness and,528480,530839
this is like he's a like been in the,530839,533320
system a long time right so now we catch,533320,535880
the chain we go over to Donovan RJ,535880,537880
Donovan it's a a four yard a uh level,537880,541480
four um do you know how that works no,541480,544959
level four being the highest level most,544959,547880
dangerous criminals yeah the next level,547880,549959
is super doome in San Diego I mean so,549959,551760
why they bring you to a level four,551760,553800
because my charges my charges but,553800,556640
kidnapping all that because those,556640,558560
charges were so intense they put you in,558560,560720
with those people you know yeah holy,560720,563560
[ __ ] so I catch the chain right I go,563560,565720
over there I catch the chain and uh this,565720,568519
guy's just like I'm G [ __ ] kill you,568519,570959
I'm gonna kill you like that's we're GNA,570959,572800
get you you know and I'm just thinking,572800,574600
the whole time like this chain comes off,574600,576279
I'm GNA rip this guy's ass apart again,576279,578519
you know what I mean so I go into,578519,580640
reception and we're in a Cell Block it's,580640,582800
like 360 degrees with a gunner all this,582800,585120
stuff some desks and they come check you,585120,587240
in and now our cell's like we only we,587240,588880
don't get out of our cell now until they,588880,591040
intake us right so now I'm in there like,591040,593519
three months and uh there's this this,593519,597320
guy next door we start talking through,597320,598720
the vent to each together a little bit,598720,600000
you know and uh we play in chess and,600000,602440
[ __ ] like through the little vent mhm,602440,605160
moving pieces around [ __ ] and they call,605160,606519
me out to the day to the thing talk to,606519,608519
the officers and this guy goes I don't,608519,609920
know this guy again in the cell next to,609920,612399
me right and uh I walk past his cell and,612399,615000
I hear him yelled like through the thing,615000,616360
he's like hey bro kick that cord over to,616360,618399
me I'm like kick your cord over like,618399,621040
yeah that cord right there kick that,621040,622440
cord over to me when you come by and and,622440,624880
I'm like the [ __ ] he want this cord for,624880,627279
you know it was like connected to this,627279,628720
fan right right so when I come back I,628720,631279
kick this cord over and I wasn't going,631279,632839
to do it but I was like [ __ ] it right so,632839,634959
I kick this cord over there and next,634959,637079
thing you know in the night I get this,637079,639000
fish come through right like it's a like,639000,641160
they make a like a a string right with,641160,643079
the thing on it and swing it out into,643079,645320
your cell you take this kite and you can,645320,647680
read the information on it or whatever,647680,649079
you know so kite it around to everybody,649079,651560
and get it to who they needed to get it,651560,652800
to right okay so this guy shoots this,652800,654920
little sheet kite over to me I open it,654920,656720
up it's a [ __ ] sack of weed dude,656720,659639
right and I'm like I'm like that's why,659639,661320
this dude wanted that cord he took that,661320,663000
cord and he started a wick so he started,663000,665200
a fire and he had a bag of weed so now,665200,667440
he's smoking weed and the whole cell is,667440,669880
like full of weed bro and he shoots I,669880,672200
said bro I can't have this like I try to,672200,674279
shoot that [ __ ] back to him he's like,674279,675600
he's like no you got to keep it you get,675600,677320
coffee with it you get whatever you need,677320,678880
you know and I'm like I'm like oh [ __ ],678880,680839
okay you know so my other s that was in,680839,683040
there he was like I'll take it and I was,683040,684320
like [ __ ] yeah take that [ __ ] so I got a,684320,686680
bunch of canteen and [ __ ] you know like,686680,688160
coffee and stuff for it,688160,689760
and uh so this guy like really really,689760,692880
was like thankful I did it for him you,692880,694680
know like kick this cord so I never seen,694680,697120
his face like never seen this guy's face,697120,699240
right just hear him talking through the,699240,700959
the thing and,700959,703399
uh so,703399,705880
uh the guy I caught the chain with puts,705880,709040
this hit on me like they want to try and,709040,710880
try and stab me right,710880,713720
so it goes around to the other keyh,713720,717120
holders the [ __ ] guy next to me was a,717120,720079
keyh holder for the for the Bloods he's,720079,722320
a black guy because I kicked that CT,722320,724519
over to him he hit me up through the,724519,726600
cell he's like hey he says is your name,726600,729880
beanie and I was like [ __ ],729880,733000
right I look go back over the to the,733000,736160
vent right and I said,736160,740399
no and he goes like and he goes he goes,741600,744320
oh good and I went oh good me right and,744320,748760
I'm like like hey I said uh I said what,748760,751279
if it was and he goes well is it or not,751279,754240
[ __ ] I go well it's not beanie I go,754240,756560
it's bany and he goes it's the same [ __ ],756560,759399
I go okay bro he's like hey I'm G let,759399,762120
you know they're going to pop this door,762120,763920
and they're coming for,763920,766399
you and I was like really I was like,766399,769560
what do you mean he's like they're going,769560,771720
to come and get you in this door pops,771720,773440
you're going to pop this door and you're,773440,774800
going to go to shower and they're going,774800,776079
to send some guys to come and get you,776079,778279
oof my other s he knows already he,778279,781839
didn't tell,781839,783079
me in order for that to go down they,783079,785760
have to tell your sy so your s can stay,785760,787440
out of the [ __ ] way oh wow so he,787440,789880
knows about it he's known about it and,789880,792240
now he tells me through the wall and now,792240,793560
I know he knows about it you know what I,793560,795600
mean and I'm living in this room with,795600,797120
this guy so door pops my S takes off,797120,802480
running out of the cell so I just I just,802480,806120
post it up at the back of the cell just,806120,808199
waiting you know and sure as [ __ ] two,808199,810600
guys come flying in one guy flying in,810600,812720
try to stab me and I'm [ __ ] scrapping,812720,815519
wrapping all over the place fall out of,815519,817920
the cell we're up the stairs [ __ ],817920,820600
push the guy down the stairs we fall,820600,822079
down the stairs I'm tired as [ __ ] like,822079,825079
fighting two guys I'm tired I'm lumped,825079,827600
up a little bit and I look over this way,827600,830160
and I'm barely breathing look over this,830160,832399
way and all the [ __ ] cops just,832399,833800
watching they're just watching oh my God,833800,837040
so this other guy come over he's kicking,837040,838639
kicking kicking I grab the other guy,838639,840440
drag him on top of me and I'm just,840440,841800
choking him you know like trying to use,841800,843480
him to deflect this guy from from,843480,845360
getting at me right and then realize,845360,847880
this guy's out he's not even,847880,850160
awake push him off me and now it's just,850160,852600
me and this guy and everybody in the,852600,854040
cells watching and all the cops watching,854040,856839
so just tear this [ __ ] guy's ass up,856839,859880
we leave and this guy never got up the,859880,863680
guy was,863680,864680
choking never got up just eyes full of,864680,868639
blood,868639,870000
right,870000,872279
so they send me to another cell block I,872279,875759
go in there there for a couple,875759,878079
days guard comes in we're going to move,878079,881199
you to to the,881199,883079
gymnasium so move me to the,883079,885560
gymnasium now I'm out of the cell block,885560,887639
I'm in a gym with 300 guys can walk,887639,889560
around I get yard access all this stuff,889560,891959
right and the cop says I really,891959,895079
appreciate what you did for us out there,895079,897519
he's like that was pretty [ __ ],897519,898720
amazing and I'm just thinking to myself,898720,900800
like I want to get the [ __ ] out of here,900800,905040
