text,start,duration
do they have to ask him do they have to,311.84,4.4
ask him what his story is I don't give a,313.759,4.16
[ __ ] they but they don't they don't ask,316.24,4.6
you they just let you go it's okay what,317.919,4.28
what like is there a punishment is,320.84,3.359
that's what I'm getting they lock me my,322.199,3.761
I couldn't get on my cell for like two,324.199,4.961
weeks oh for two weeks yeah just alone,325.96,4.92
in yourself,329.16,4.52
const the door so what happens is is for,330.88,3.96
a certain amount of hours of the day,333.68,2.2
they got to pop the door and let you,334.84,3.16
into a bigger cell a bigger room you,335.88,4.8
know what I mean so I just couldn't get,338.0,5.44
into the the day room for like two weeks,340.68,5.28
but the crazy [ __ ] of it all is like I'm,343.44,3.68
trying to tell you I'm trying to learn,345.96,4.2
this this system right this new rules so,347.12,4.76
what happens is this kid this guy okay,350.16,3.28
we talk about the cars and the races,351.88,3.64
right so each race has their own car,353.44,4.24
which means there's a key holder the key,355.52,5.0
holder to that car controls the race,357.68,4.32
so they make decisions for the race they,360.52,3.56
TR and keep other races out of car,362.0,3.759
wrecks like now we got a feud with the,364.08,2.64
blacks or we got a feud with the,365.759,2.681
Mexicans or whatever they call them car,366.72,4.0
wrecks yeah well if we get in a fight,368.44,5.0
with them the keyh holder is the guy,370.72,4.36
that can communicate with the other keyh,373.44,3.44
holders to the races and trying to keep,375.08,5.28
delegated wow yeah and so I didn't had,376.88,4.68
it happen where we going to get out with,380.36,2.959
the Mexicans and then our keys will go,381.56,3.68
and they keys and and we F to jump we,383.319,3.361
getting ready to jump and they and they,385.24,3.2
shake hands all right it ain't going it,386.68,5.32
ain't going and and it go back down so,388.44,4.56
yeah and you're trying to figure all,392.0,2.319
this out so what happened was I beat,393.0,3.96
this Fool's ass and now I'm I got the,394.319,5.481
keys oh wow but I can't have the keys,396.96,4.28
because I'm a first termer so first,399.8,3.08
termer is not allowed to have the keys,401.24,3.2
but nobody nobody wanted to try to take,402.88,3.8
the keys from me so in order for them to,404.44,3.4
take the keys from me they got to fight,406.68,3.959
me to take the keys away from me oh boy,407.84,5.88
so so that kind of changed the Dynamics,410.639,5.28
of the of the room because now I'm able,413.72,5.159
to navigate with these other races and,415.919,4.761
have these convers ations with these,418.879,4.44
[ __ ] ignorant people that don't,420.68,5.32
understand how to how to really talk you,423.319,4.0
know what I mean like how to communicate,426.0,3.84
and and and keep things cool they they,427.319,4.641
they misunderstand what this guy says or,429.84,3.52
misinterpret what this guy says and next,431.96,3.359
thing you know it's hot for everybody,433.36,2.92
you know and it's just,435.319,2.641
misinterpretations yeah yeah cuz they're,436.28,4.96
dumb mostly these guys are dumb bro like,437.96,5.88
they're like the coners it made me in,441.24,3.639
some ways you're sitting there listening,443.84,2.16
to these guys you're like these guys,444.879,2.561
really think this [ __ ] like figh about,446.0,5.28
the dumbest [ __ ] yeah so,447.44,8.56
cities fighting over teams fighting over,451.28,6.68
just the dumbest [ __ ] Xbox and,456.0,3.72
PlayStation and somebody said something,457.96,3.32
wrong and then that escalated into,459.72,4.599
something that's was personal yeah half,461.28,5.319
quick so now they take me from there,464.319,3.681
that incident takes place right and we,466.599,4.521
resolve some of that stuff but now these,468.0,4.479
guys are in different modular so now,471.12,2.68
they're putting these kites out to try,472.479,3.601
and get me as I'm going to court so what,473.8,4.2
happens they catch chain with some guys,476.08,4.04
and then we go into these holding tanks,478.0,3.28
all these different holding tanks and,480.12,2.519
you get put in that holding tank with,481.28,3.4
that guy that got a kite that's looking,482.639,4.641
for you and now it's on it's cracking,484.68,4.72
you know what I mean whoa so I'm sitting,487.28,3.44
in my cell I'm getting ready to go to,489.4,2.88
court and there's these two huge ass,490.72,3.52
guys and they're in there talking to,492.28,4.28
each other about trying to get me but,494.24,4.2
they don't know that it's me so I'm,496.56,3.0
sitting in there I'm listening to,498.44,2.319
everything that they're trying to do and,499.56,2.199
how they're going to try and set this,500.759,2.201
[ __ ] up and I'm sitting right in front,501.759,2.801
of them and they don't even realize it's,502.96,4.88
me wow and I'm thinking honestly I'm,504.56,5.759
like these are Big [ __ ] I'm can,507.84,3.799
they're going to take me out like,510.319,2.881
there's only so much you can do you know,511.639,2.84
what I mean,513.2,4.279
numbers so I make it through that whole,514.479,6.0
process and I catch a chain and when I,517.479,4.881
catch a chain they take you from County,520.479,5.241
to to State and I catch a chain with the,522.36,6.12
same [ __ ] that I got into it with I,525.72,5.119
took the keys from oh my goodness and,528.48,4.84
this is like he's a like been in the,530.839,5.041
system a long time right so now we catch,533.32,4.56
the chain we go over to Donovan RJ,535.88,5.6
Donovan it's a a four yard a uh level,537.88,7.079
four um do you know how that works no,541.48,6.4
level four being the highest level most,544.959,5.0
dangerous criminals yeah the next level,547.88,3.88
is super doome in San Diego I mean so,549.959,3.841
why they bring you to a level four,551.76,4.88
because my charges my charges but,553.8,4.76
kidnapping all that because those,556.64,4.08
charges were so intense they put you in,558.56,5.0
with those people you know yeah holy,560.72,5.0
[ __ ] so I catch the chain right I go,563.56,4.959
over there I catch the chain and uh this,565.72,5.239
guy's just like I'm G [ __ ] kill you,568.519,4.281
I'm gonna kill you like that's we're GNA,570.959,3.641
get you you know and I'm just thinking,572.8,3.479
the whole time like this chain comes off,574.6,3.919
I'm GNA rip this guy's ass apart again,576.279,4.361
you know what I mean so I go into,578.519,4.281
reception and we're in a Cell Block it's,580.64,4.48
like 360 degrees with a gunner all this,582.8,4.44
stuff some desks and they come check you,585.12,3.76
in and now our cell's like we only we,587.24,3.8
don't get out of our cell now until they,588.88,4.639
intake us right so now I'm in there like,591.04,6.28
three months and uh there's this this,593.519,5.201
guy next door we start talking through,597.32,2.68
the vent to each together a little bit,598.72,3.72
you know and uh we play in chess and,600.0,5.16
[ __ ] like through the little vent mhm,602.44,4.079
moving pieces around [ __ ] and they call,605.16,3.359
me out to the day to the thing talk to,606.519,3.401
the officers and this guy goes I don't,608.519,3.88
know this guy again in the cell next to,609.92,5.08
me right and uh I walk past his cell and,612.399,3.961
I hear him yelled like through the thing,615.0,3.399
he's like hey bro kick that cord over to,616.36,4.68
me I'm like kick your cord over like,618.399,4.041
yeah that cord right there kick that,621.04,3.84
cord over to me when you come by and and,622.44,4.839
I'm like the [ __ ] he want this cord for,624.88,3.84
you know it was like connected to this,627.279,4.0
fan right right so when I come back I,628.72,4.119
kick this cord over and I wasn't going,631.279,3.68
to do it but I was like [ __ ] it right so,632.839,4.24
I kick this cord over there and next,634.959,4.041
thing you know in the night I get this,637.079,4.081
fish come through right like it's a like,639.0,4.079
they make a like a a string right with,641.16,4.16
the thing on it and swing it out into,643.079,4.601
your cell you take this kite and you can,645.32,3.759
read the information on it or whatever,647.68,3.88
you know so kite it around to everybody,649.079,3.721
and get it to who they needed to get it,651.56,3.36
to right okay so this guy shoots this,652.8,3.92
little sheet kite over to me I open it,654.92,4.719
up it's a [ __ ] sack of weed dude,656.72,4.6
right and I'm like I'm like that's why,659.639,3.361
this dude wanted that cord he took that,661.32,3.88
cord and he started a wick so he started,663.0,4.44
a fire and he had a bag of weed so now,665.2,4.68
he's smoking weed and the whole cell is,667.44,4.76
like full of weed bro and he shoots I,669.88,4.399
said bro I can't have this like I try to,672.2,3.4
shoot that [ __ ] back to him he's like,674.279,3.041
he's like no you got to keep it you get,675.6,3.28
coffee with it you get whatever you need,677.32,3.519
you know and I'm like I'm like oh [ __ ],678.88,4.16
okay you know so my other s that was in,680.839,3.481
there he was like I'll take it and I was,683.04,3.64
like [ __ ] yeah take that [ __ ] so I got a,684.32,3.84
bunch of canteen and [ __ ] you know like,686.68,3.08
coffee and stuff for it,688.16,4.72
and uh so this guy like really really,689.76,4.92
was like thankful I did it for him you,692.88,4.24
know like kick this cord so I never seen,694.68,4.56
his face like never seen this guy's face,697.12,3.839
right just hear him talking through the,699.24,4.159
the thing and,700.959,4.921
uh so,703.399,5.641
uh the guy I caught the chain with puts,705.88,5.0
this hit on me like they want to try and,709.04,4.68
try and stab me right,710.88,6.24
so it goes around to the other keyh,713.72,6.359
holders the [ __ ] guy next to me was a,717.12,5.2
keyh holder for the for the Bloods he's,720.079,4.44
a black guy because I kicked that CT,722.32,4.28
over to him he hit me up through the,724.519,5.361
cell he's like hey he says is your name,726.6,6.4
beanie and I was like [ __ ],729.88,6.28
right I look go back over the to the,733.0,7.399
vent right and I said,736.16,4.239
no and he goes like and he goes he goes,741.6,7.16
oh good and I went oh good me right and,744.32,6.959
I'm like like hey I said uh I said what,748.76,5.48
if it was and he goes well is it or not,751.279,5.281
[ __ ] I go well it's not beanie I go,754.24,5.159
it's bany and he goes it's the same [ __ ],756.56,5.56
I go okay bro he's like hey I'm G let,759.399,4.521
you know they're going to pop this door,762.12,4.279
and they're coming for,763.92,5.64
you and I was like really I was like,766.399,5.321
what do you mean he's like they're going,769.56,3.88
to come and get you in this door pops,771.72,3.08
you're going to pop this door and you're,773.44,2.639
going to go to shower and they're going,774.8,3.479
to send some guys to come and get you,776.079,5.76
oof my other s he knows already he,778.279,4.8
didn't tell,781.839,3.921
me in order for that to go down they,783.079,4.361
have to tell your sy so your s can stay,785.76,4.12
out of the [ __ ] way oh wow so he,787.44,4.8
knows about it he's known about it and,789.88,3.68
now he tells me through the wall and now,792.24,3.36
I know he knows about it you know what I,793.56,3.56
mean and I'm living in this room with,795.6,6.88
this guy so door pops my S takes off,797.12,9.0
running out of the cell so I just I just,802.48,5.719
post it up at the back of the cell just,806.12,4.48
waiting you know and sure as [ __ ] two,808.199,4.521
guys come flying in one guy flying in,810.6,4.919
try to stab me and I'm [ __ ] scrapping,812.72,5.2
wrapping all over the place fall out of,815.519,5.081
the cell we're up the stairs [ __ ],817.92,4.159
push the guy down the stairs we fall,820.6,4.479
down the stairs I'm tired as [ __ ] like,822.079,5.521
fighting two guys I'm tired I'm lumped,825.079,5.081
up a little bit and I look over this way,827.6,4.799
and I'm barely breathing look over this,830.16,3.64
way and all the [ __ ] cops just,832.399,4.641
watching they're just watching oh my God,833.8,4.839
so this other guy come over he's kicking,837.04,3.4
kicking kicking I grab the other guy,838.639,3.161
drag him on top of me and I'm just,840.44,3.04
choking him you know like trying to use,841.8,3.56
him to deflect this guy from from,843.48,4.4
getting at me right and then realize,845.36,4.8
this guy's out he's not even,847.88,4.72
awake push him off me and now it's just,850.16,3.88
me and this guy and everybody in the,852.6,4.239
cells watching and all the cops watching,854.04,5.84
so just tear this [ __ ] guy's ass up,856.839,6.841
we leave and this guy never got up the,859.88,4.8
guy was,863.68,4.959
choking never got up just eyes full of,864.68,5.32
blood,868.639,3.64
right,870.0,5.759
so they send me to another cell block I,872.279,5.8
go in there there for a couple,875.759,5.44
days guard comes in we're going to move,878.079,5.0
you to to the,881.199,4.361
gymnasium so move me to the,883.079,4.56
gymnasium now I'm out of the cell block,885.56,4.0
I'm in a gym with 300 guys can walk,887.639,4.32
around I get yard access all this stuff,889.56,5.519
right and the cop says I really,891.959,5.56
appreciate what you did for us out there,895.079,3.641
he's like that was pretty [ __ ],897.519,3.281
amazing and I'm just thinking to myself,898.72,6.32
like I want to get the [ __ ] out of here,900.8,4.24
